 76.71	16663817	16663817	S	4558	                                              Sorghum bicolor
  5.06	1098514	1098514	S1	131158	                                                  Saccharum hybrid cultivar R570
  1.64	355951	355951	S1	672242	                                                  Saccharum hybrid cultivar FN-1702
  1.54	335393	335393	S1	193079	                                                  Saccharum hybrid cultivar SP80-3280
  1.15	249500	249500	S1	676074	                                                  Saccharum hybrid cultivar ROC22
  0.65	141854	141854	S1	672245	                                                  Saccharum hybrid cultivar Pindar
  0.39	84695	84695	S1	1214490	                                                  Saccharum hybrid cultivar GT28
  0.11	23177	23177	S1	1472232	                                                  Saccharum hybrid cultivar Yacheng05-179
  0.10	22752	22752	S1	672234	                                                  Saccharum hybrid cultivar Co 86032
  0.10	20675	20675	S1	50502	                                                  Saccharum hybrid cultivar H32-8560
  5.94	1290473	1290473	S	4547	                                                Saccharum officinarum
  1.31	283701	283701	S	62335	                                                Saccharum spontaneum
  0.24	52561	52561	S	183674	                                              Miscanthus x giganteus
  2.03	441707	441707	S	1010633	                                              Digitaria exilis
  0.13	28944	28944	S	4555	                                              Setaria italica
  0.35	75336	75336	S	15368	                                          Brachypodium distachyon
  0.25	54468	54468	S	38705	                                              Phyllostachys edulis
  0.17	36079	36079	S	4533	                                            Oryza brachyantha
